,Condition,State,City,Price,Currency,ITEM_CONDITION,LENGTH,PASSENGER_CAPACITY,POWER,SINGLE_OWNER,TRACTION_CONTROL,HAS_AIR_CONDITIONING,ENGINE_DISPLACEMENT,BRAND,DOORS,ENGINE,FUEL_TYPE,KILOMETERS,MODEL,TRANSMISSION,TRIM,VEHICLE_YEAR,ENGINE_MANUFACTURER,MOTO_TYPE,CYLINDERS,LOADING_CAPACITY
MLM808949200,used,Jalisco,Zapopan,89500,MXN,Usado,,,,,,,,RAM,2,,Gasolina,127000 km,Ram 1500,,6cil caja larga auto,2001,,,,
MLM808037654,used,Jalisco,Zapopan,309000,MXN,Usado,4590 mm,,,,Delantera,Sí,1.8 L,Mercedes-Benz,2,1.8,Gasolina,52000 km,Clase C,Automática,1.8 250 Cgi Coupe At,2015,,,,
MLM803015359,used,Distrito Federal,Tlalpan,204900,MXN,Usado,,,,,4x2,,5.4 L,Lincoln,5,,Gasolina,139000 km,Navigator,Automática,Vagoneta Ultime 4x2 At,2011,,,,
MLM807734434,used,Distrito Federal,Coyoacán,229900,MXN,Usado,,,,,Delantera,,2488 cc,Mazda,5,,Gasolina,55000 km,Mazda 3,Automática,2.5 I Touring At,2017,,,,
MLM804676686,used,Distrito Federal,Cuajimalpa De Morelos,402500,MXN,Usado,4511 mm,2,174 hp,,Delantera,Sí,1496 cc,Honda,2,1.5,Gasolina,18500 km,Civic,Automática,1.5 Coupe Turbo Cvt,2019,,,,
MLM799808006,used,Distrito Federal,Cuajimalpa De Morelos,427400,MXN,Usado,,,,,Trasera,,1997 cc,BMW,4,,Gasolina,52958 km,Serie 3,Automática,2.0 330ia Sport Line At,2018,,,,
MLM803012926,used,Distrito Federal,Tlalpan,269900,MXN,Usado,,5,,,4x4,Sí,2 L,BMW,5,2.0,Gasolina,71000 km,X3,Manual,2.0 X3 Xdrive28ia M Sport Man Mt,2013,,,,
MLM803012949,used,Morelos,Cuernavaca,179900,MXN,Usado,4384 mm,5,105 hp,,Delantera,,1.6 L,Volkswagen,4,1.6,Gasolina,54000 km,Vento,Manual,1.6 Confortline Mt,2018,,,,
MLM812132937,used,Distrito Federal,Benito Juárez,570000,MXN,Usado,4404 mm,5,285 hp,,4x4,Sí,3604 cc,Jeep,5,3.6,Gasolina,20000 km,Wrangler,Automática,3.6 Unlimited Sahara Winter Edition 4x4 At,2017,,,,
MLM803038600,used,Puebla,Puebla,89900,MXN,Usado,,,,,,,,Chevrolet,3,,Gasolina,90000 km,Tornado,,Equipada 2009,2009,,,,
MLM804259929,used,Distrito Federal,Cuajimalpa De Morelos,192500,MXN,Usado,4363 mm,5,82 hp,,Delantera,Sí,1197 cc,Suzuki,5,1.2,Gasolina,5075 km,Ignis,Manual,1.2 Vvt Gl,2020,,,,
MLM812798089,used,Distrito Federal,Coyoacán,269900,MXN,Usado,4590 mm,,,Sí,Delantera,Sí,3.5 L,Mercedes-Benz,2,3.5,Gasolina,42000 km,Clase C,Automática,3.5 350 Cgi Coupe At,2012,,,,
MLM810031733,used,Distrito Federal,Coyoacán,950000,MXN,Usado,4756 mm,5,476 hp,Sí,Trasera,Sí,3982 cc,Mercedes-Benz,4,4.0,Gasolina,25000 km,Clase C,Automática,4.0 63 Amg At,2017,,,,
MLM810010783,used,Distrito Federal,Coyoacán,469900,MXN,Usado,4355 mm,5,42 hp,Sí,Delantera,Sí,1580 cc,Kia,5,1.6,Gasolina,12000 km,Niro,Automática,1.6 Gdi Ex At,2020,,,,
MLM811921219,used,Distrito Federal,Coyoacán,589900,MXN,Usado,4783 mm,2,335 hp,Sí,Trasera,Sí,3640 cc,Chevrolet,2,3.6,Gasolina,13000 km,Camaro,Automática,3.6 Rs V6 At,2019,,,,
MLM803110665,used,Distrito Federal,Cuajimalpa De Morelos,532470,MXN,Usado,4329 mm,5,177 hp,,Trasera,Sí,1598 cc,BMW,5,1.6,Gasolina,6653 km,Serie 1,Automática,1.6 5p 120ia M Sport At,2020,,,,
MLM808765070,used,Distrito Federal,Tlalpan,244900,MXN,Usado,,2,,,Trasera,Sí,3.6 L,Chevrolet,2,3.6,Gasolina,109000 km,Camaro,Automática,Lt V6 At,2012,,,,
MLM803018943,used,Distrito Federal,Tlalpan,254900,MXN,Usado,4580 mm,5,188 hp,,Delantera,Sí,2488 cc,Mazda,4,2.5,Gasolina,68000 km,Mazda 3,Automática,2.5 S Grand Touring Sedan At,2018,,,,
MLM811457767,used,Puebla,Puebla,239900,MXN,Usado,4275 mm,5,148 hp,,Delantera,Sí,1998 cc,Mazda,5,2.0,Gasolina,55000 km,CX-3,Automática,2.0 I Grand Touring At,2016,,,,
MLM802056453,used,Puebla,Puebla,189900,MXN,Usado,,,,,Delantera,,1497 cc,Honda,5,,Gasolina,43000 km,Fit,Manual,1.5 Fun Mt,2018,,,,
MLM802000133,used,Puebla,Puebla,189900,MXN,Usado,,,,,Delantera,,1.6 L,Peugeot,5,,Gasolina,52000 km,3008,Manual,1.6 Féline Mt,2015,,,,
