,Condition,State,City,ITEM_CONDITION,LENGTH,PASSENGER_CAPACITY,POWER,TRACTION_CONTROL,HAS_AIR_CONDITIONING,ENGINE_DISPLACEMENT,BRAND,DOORS,ENGINE,FUEL_TYPE,KILOMETERS,MODEL,TRANSMISSION,TRIM,VEHICLE_YEAR,SINGLE_OWNER,ENGINE_MANUFACTURER,MOTO_TYPE,CYLINDERS,LOADING_CAPACITY,HOURS_OF_USE,FORKLIFT_TYPE,HAS_POWER_TRIM,ENGINE_QUANTITY,BEAM,OPERATING_WEIGHT,LINE,WEIGHT,DRAFT,INTERNAL_DIAMETER,MAX_POWER,Price_MXN
MLM783552901,used,Nuevo León,Guadalupe,Usado,,,,nan,nan,1000.0,Honda,nan,nan,nan,18000.0,ÁFRICA TWIN 1200,nan,nan,2019.0,nan,HONDA 1000,Doble propósito,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,285000.0
MLM781719524,used,Estado De México,Tlalnepantla de Baz,Usado,,,,nan,nan,1200.0,BMW,nan,nan,Gasolina,21000.0,R 1200 RT,nan,nan,2017.0,nan,nan,Crucero,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,285000.0
MLM767310557,not_specified,Estado De México,Tlalnepantla de Baz,,,,,nan,nan,,Caterpillar,nan,nan,Diésel,,D6T LGP,nan,nan,2011.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,2543696.1661898
MLM807913485,used,Jalisco,Guadalajara,Usado,,,,Trasera,nan,3000.0,BMW,2.0,nan,Gasolina,44634.0,Serie M,Automática,3.0 M4 Coupe At,2015.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,699000.0
MLM807049401,used,Nuevo León,San Nicolás De Los Garza,Usado,,,,4x4,nan,6700.0,Ford,4.0,nan,Diésel,80000.0,F-250,Automática,6.7l Super Duty Cab Dob Diesel 4x4 At,2016.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,425000.0
MLM805302982,used,Querétaro,El Marqués,Usado,,2.0,230.0,Trasera,Sí,2000.0,Audi,2.0,2.0,Gasolina,90000.0,TT,Automática,2.0 Coupe Tfsi 6vel At,2009.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,270000.0
MLM801711364,used,Distrito Federal,Benito Juárez,Usado,,,,4x4,nan,1991.0,Mercedes-Benz,5.0,nan,Gasolina,30000.0,Clase GLC,Automática,2.0 300 Sport At,2016.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,465000.0
MLM799358990,used,Morelos,Tepoztlan,Usado,,,,4x4,nan,3500.0,Honda,5.0,nan,Gasolina,100000.0,Pilot,Automática,Touring Aa Ee Piel 4x4 At,2012.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,195000.0
MLM789674738,used,Aguascalientes,Aguascalientes,Usado,4171.0,5.0,,Delantera,Sí,1600.0,Nissan,4.0,1.6,Gasolina,131000.0,Platina,Manual,1.6 Custom Ac Mt,2007.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,57000.0
MLM791668973,used,Puebla,Puebla,Usado,,,,Trasera,nan,1800.0,Chevrolet,5.0,nan,Gasolina,213000.0,Meriva,Manual,1.8 M Mt,2007.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,69000.0
MLM810598164,used,Distrito Federal,Iztacalco,Usado,4397.0,4.0,,Delantera,Sí,1600.0,Chevrolet,4.0,1.6,Gasolina,58494.0,Sonic,Manual,1.6 Lt Mt,2013.0,No,nan,nan,4.0,,,nan,nan,,nan,,nan,nan,nan,nan,nan,117300.0
MLM803005476,used,Distrito Federal,Iztacalco,Usado,4652.0,5.0,170.0,Delantera,Sí,2480.0,Volkswagen,4.0,2.5,Gasolina,42965.0,Jetta,Manual,2.5 Comfortline Mt,2017.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,239800.0
