,Condition,State,City,Price,Currency,ITEM_CONDITION,LENGTH,PASSENGER_CAPACITY,POWER,TRACTION_CONTROL,HAS_AIR_CONDITIONING,ENGINE_DISPLACEMENT,BRAND,DOORS,ENGINE,FUEL_TYPE,KILOMETERS,MODEL,TRANSMISSION,TRIM,VEHICLE_YEAR,SINGLE_OWNER,ENGINE_MANUFACTURER,MOTO_TYPE,CYLINDERS,LOADING_CAPACITY,HOURS_OF_USE,FORKLIFT_TYPE,HAS_POWER_TRIM,ENGINE_QUANTITY,BEAM,OPERATING_WEIGHT,LINE,WEIGHT,DRAFT,INTERNAL_DIAMETER,MAX_POWER
MLM808303161,used,Nuevo León,Monterrey,435000.0,MXN,Usado,4890 mm,5,,4x4,Sí,4.7 L,Toyota,5,4.7,Gasolina,117000 km,Land Cruiser,Manual,4.7 4x4 Mt,2007,,,,,,,,,,,,,,,,
MLM808177944,used,Querétaro,Querétaro,549000.0,MXN,Usado,,,,,,,Toyota,4,,Gasolina,45000 km,Hiace,,12 Pasajeros 3.5L V6,2020,,,,,,,,,,,,,,,,
MLM808072842,used,Distrito Federal,Benito Juárez,199500.0,MXN,Usado,,,,4x4,,2.5 L,Renault,5,,Gasolina,54000 km,Koleos,Automática,2.5 Privilege At,2015,,,,,,,,,,,,,,,,
MLM808072755,used,Nuevo León,San Pedro Garza García,390000.0,MXN,Usado,4239 mm,2,,4x2,Sí,2 L,BMW,2,2.0,Gasolina,53500 km,Z4,Automática,2.0 Sdrive 20ia At,2012,,,,,,,,,,,,,,,,
MLM807624711,used,Distrito Federal,Benito Juárez,405000.0,MXN,Usado,4199 mm,5,110 hp,4x2,Sí,1586 cc,Volkswagen,5,1.6,Gasolina,2199 km,T-Cross,Automática,1.6 Highline At,2020,Sí,,,,,,,,,,,,,,,
MLM807557548,used,Estado De México,Tlalnepantla de Baz,214800.0,MXN,Usado,,,,,,,Mitsubishi,4,,Gasolina,73000 km,ASX,,SE PLUS AUT QC,2015,,,,,,,,,,,,,,,,
MLM807445765,used,Guanajuato,León,315000.0,MXN,Usado,,,,Delantera,,1984 cc,Volkswagen,4,,Gasolina,28000 km,Jetta,Manual,1.4 T Fsi Comfortline,2019,,,,,,,,,,,,,,,,
MLM807371731,used,Guanajuato,Irapuato,599000.0,MXN,Usado,4950 mm,5,321 hp,4x4,Sí,1969 cc,Volvo,5,2.0,Gasolina,102931 km,XC90,Automática,2.0 T6 R-design Awd At,2017,,,,,,,,,,,,,,,,
MLM806468604,used,Sonora,Caborca,253000.0,MXN,Usado,4575 mm,5,,4x4,Sí,2.4 L,Honda,5,2.4,Gasolina,66500 km,CR-V,Manual,2.4 Exl Navi Mt,2015,,,,,,,,,,,,,,,,
MLM806374620,new,Michoacán,Zamora,553000.0,MXN,Nuevo,,,,,,,Ford,4,,Gasolina,0 km,F-150,,3.3L Doble cabina V6,2019,,,,,,,,,,,,,,,,
